word,mean_ALL,sd_ALL,n_ALL,mean_M,sd_M,n_M,mean_F,sd_F,n_F
bearer,2.461538462,0.883955043,39,2.416666667,0.900336637,12,2.481481481,0.893152169,27
bearings,2.096774194,1.011758822,31,1.8,0.941123948,15,2.375,1.024695077,16
bearskin,2.628571429,1.285340749,35,2.842105263,1.344253527,19,2.375,1.204159458,16
beast,2.772727273,1.30682524,22,1.75,1.035098339,8,3.357142857,1.081817762,14
beat,2.184210526,1.248897095,38,2.266666667,1.437590577,15,2.136363636,1.166821264,22
beatnik,3.416666667,1.105182596,36,3.473684211,0.964274111,19,3.352941176,1.271867548,17
beauty,2.35,1.21000106,40,2.066666667,1.099783528,15,2.52,1.262273082,25
beaver,3.064516129,1.364685162,31,3.214285714,1.311403912,14,2.941176471,1.434860108,17
bebop,3.931034483,1.032716061,29,3.833333333,1.193416283,12,4,0.935414347,17
bed,2.2,1.224744871,25,2.181818182,1.328019715,11,2.214285714,1.188313053,14
bedding,2.130434783,1.107724307,46,2.1875,1.046820583,16,2.1,1.155198147,30
bedroom,2.451612903,1.362319338,31,2.545454545,1.634847783,11,2.4,1.231174023,20
bedside,2.03125,1.031265274,32,1.875,0.957427108,16,2.1875,1.108677891,16
bedspread,2.5,1.107823419,34,2.692307692,1.182131929,13,2.380952381,1.07126983,21
bedtime,2.090909091,1.177663864,44,2.090909091,1.064987856,22,2.090909091,1.305996825,22
beef,2.55,1.108244165,40,2.3,1.251665557,10,2.633333333,1.06619961,30
beefsteak,3.128205128,1.173826114,39,3.263157895,1.240165995,19,3,1.123902974,20
beehive,2.482758621,1.326129967,29,2.272727273,1.348399725,11,2.611111111,1.334558261,18
beep,2.615384615,1.298519867,26,2.416666667,1.311372171,12,2.785714286,1.311403912,14
beer,2.806451613,1.447281471,31,2.75,1.288057029,12,2.842105263,1.572795031,19
beeswax,3.379310345,1.373571806,29,3.588235294,1.175735064,17,3.083333333,1.621353718,12
beetle,2.75,1.1426091,28,3.181818182,1.167748416,11,2.470588235,1.067570083,17
beggar,2.125,1.264657651,40,2.055555556,1.055641551,18,2.181818182,1.435481125,22
beige,2.344827586,1.110851092,29,2.461538462,1.265924209,13,2.25,1,16
belay,2.193548387,1.077631812,31,1.9,0.994428926,10,2.333333333,1.110555417,21
belch,3.03125,1.469789869,32,3.2,1.61245155,15,2.882352941,1.363925994,17
belief,2.142857143,1.088519154,35,2.083333333,1.311372171,12,2.173913043,0.984062725,23
bell,1.757575758,0.902437776,33,1.894736842,0.87526103,19,1.615384615,0.960768923,13
