word,mean_ALL,sd_ALL,n_ALL,mean_M,sd_M,n_M,mean_F,sd_F,n_F
entail,2.225,1.097491312,40,2.19047619,1.249761882,21,2.263157895,0.933458638,19
entrails,2.071428571,0.978607152,28,2,1.154700538,7,2.095238095,0.94365046,21
entrance,2.307692308,1.00404042,39,2.333333333,0.778498944,12,2.346153846,1.09333646,26
entry,2.193548387,0.833440853,31,2,0.816496581,13,2.333333333,0.84016805,18
envoy,2.5,1.059066392,38,2,0.942809042,10,2.678571429,1.055973184,28
envy,1.853658537,1.130508196,41,1.785714286,1.050902281,14,1.888888889,1.187542172,27
enzyme,2.578947368,1.056040001,38,2.636363636,1.120064933,11,2.555555556,1.050030525,27
epic,2.75,1.250714082,36,2.772727273,1.342769639,22,2.714285714,1.138728807,14
equal,2.153846154,0.96715284,26,2.076923077,1.037749043,13,2.230769231,0.926808696,13
era,2.222222222,1.012739367,27,1.818181818,0.981649817,11,2.5,0.966091783,16
errand,2.45,1.108244165,40,2.909090909,1.300349603,11,2.275862069,0.996298568,29
error,2.175,1.195879678,40,2,1.037749043,14,2.269230769,1.282425586,26
escape,2.482758621,1.242712749,29,2.133333333,1.302013093,15,2.857142857,1.099450412,14
escort,2.318181818,1.249242195,22,2.363636364,1.361816968,11,2.272727273,1.190874392,11
essay,1.863636364,0.888843794,22,1.5,0.849836586,10,2.166666667,0.83484711,12
essence,2.088235294,0.99598123,34,2.285714286,1.069044968,14,1.95,0.944513241,20
estate,2.137931034,1.274030105,29,2,1.341640786,11,2.222222222,1.262842525,18
esteem,2.243902439,1.113114725,41,2.05,1.145931017,20,2.428571429,1.075705748,21
ether,2.702702703,1.198723044,37,2.722222222,1.017815166,18,2.684210526,1.376494403,19
ethic,2.25,1.130739328,36,2.294117647,1.212678125,17,2.210526316,1.08417646,19
evens,2.28125,0.991394424,32,2,0.877058019,14,2.5,1.043185168,18
event,2.119047619,1.151931166,42,2.086956522,1.239979599,23,2.157894737,1.067872126,19
evil,1.869565217,1.107724307,46,2,1.133893419,15,1.806451613,1.108132207,31
excess,2.035714286,1.104943198,28,2.2,1.032795559,10,1.944444444,1.161754364,18
exchange,1.931034483,1.099708873,29,1.8,1.316561177,10,2,1,19
excuse,2.151515152,1.202113039,33,2.333333333,1.283377896,18,1.933333333,1.099783528,15
exhaust,2.130434783,1.013739604,23,2.4,1.121223821,15,1.625,0.51754917,8
exile,1.864864865,1.058357274,37,1.846153846,1.14354375,13,1.875,1.034723235,24
exit,1.942857143,0.905631309,35,2,0.816496581,13,1.909090909,0.971454036,22
expense,1.916666667,1.07902072,36,1.875,1.310216267,16,1.95,0.887041208,20
expert,2.088235294,1.137984584,34,2.2,1.316561177,10,2.041666667,1.082636342,24
exploit,2.238095238,1.100100302,42,2.352941176,1.169464432,17,2.16,1.067707825,25
expo,2.366666667,1.217213702,30,2.416666667,1.378954369,12,2.333333333,1.137592918,18
export,2.461538462,1.022024664,39,2.6,0.91025899,15,2.347826087,1.112274314,23
extent,2.083333333,0.937321412,36,1.636363636,0.924416278,11,2.28,0.890692614,25
extra,2.19047619,1.017843134,42,2.5,1.154700538,16,2,0.894427191,26
extract,1.96875,1.031265274,32,1.833333333,1.114640858,12,2.05,0.998683344,20
extreme,2.222222222,1.14918881,36,2.4375,1.31497782,16,2.05,0.998683344,20
eye,2.033333333,0.9278575,30,2.142857143,0.949262293,14,1.933333333,0.961150105,15
eyeball,2.285714286,1.356933986,28,1.866666667,1.187233679,15,2.769230769,1.423250163,13
eyebrow,2.269230769,1.185164708,26,2.071428571,0.916874768,14,2.5,1.445997611,12
eyeful,2.75,1.421878733,24,2.666666667,1.658312395,9,2.8,1.320173149,15
eyelash,2.470588235,1.022038786,34,2.272727273,1.348399725,11,2.565217391,0.843482336,23
eyes,2.333333333,1.21295687,30,2.705882353,1.263165957,17,1.846153846,0.987096234,13
eyesight,2.081081081,1.21056411,37,1.823529412,1.333945938,17,2.3,1.080935268,20
fable,2.230769231,1.031802008,26,1.785714286,0.801783726,14,2.75,1.055289706,12
facial,2.764705882,1.280597009,34,3.5,1.354006401,10,2.458333333,1.141287094,24
fact,1.933333333,0.944433176,30,1.875,0.885061203,16,2,1.037749043,14
faction,2.04,1.019803903,25,1.9,0.994428926,10,2.133333333,1.060098827,15
factor,1.866666667,1.07425462,30,1.7,1.159501809,10,1.95,1.050062655,20
fad,2.454545455,1.301223201,33,2.9,1.595131482,10,2.260869565,1.136877354,23
fag,2.2,1.278786189,35,2.4375,1.459166429,16,2,1.105541597,19
faggot,2.571428571,1.500700117,35,3.125,1.707825128,16,2.105263158,1.149624907,19
fail,2.1875,1.330474085,32,2.769230769,1.535895296,13,1.833333333,1.043185168,18
faint,2.111111111,1.115546702,36,2.533333333,1.302013093,15,1.80952381,0.872871561,21
fair,2.153846154,0.957624008,52,2.384615385,0.767947648,13,2.076923077,1.010070748,39
fairness,2.035714286,1.035737092,28,2.090909091,1.221027883,11,2,0.935414347,17
fairway,2.35,1.075365174,40,2.304347826,1.105144277,23,2.5,1.032795559,16
fairy,2.628571429,1.238730714,35,2.5,1.507556723,12,2.695652174,1.105144277,23
faith,2.258064516,0.893224195,31,1.875,1.125991626,8,2.391304348,0.782718482,23
faithful,2.222222222,1.289764344,36,2.3,1.418136492,10,2.192307692,1.265519048,26
fake,2.222222222,1.197881728,36,2.384615385,1.386750491,13,2.181818182,1.097024705,22
falcon,2.485714286,1.03955388,35,2.384615385,1.120897077,13,2.545454545,1.010764573,22
fall,1.972972973,1.117698192,37,2.176470588,1.074435556,17,1.8,1.151657844,20
fallout,2.096774194,1.19317053,31,2.666666667,1,9,1.863636364,1.2069424,22
fallow,2.25,0.786397516,20,2.125,0.83452296,8,2.333333333,0.778498944,12
fame,2.4,1.09006206,35,2.25,1.064581295,16,2.526315789,1.123902974,19
famine,1.457142857,0.852085923,35,1.461538462,0.967417922,13,1.454545455,0.800432783,22
fan,2.447368421,1.223582874,38,2.5625,1.412739655,16,2.363636364,1.09307145,22
fancy,2.318181818,1.249242195,22,2.181818182,1.401298099,11,2.454545455,1.12815215,11
fanfare,2.861111111,1.150224271,36,3.307692308,1.377474463,13,2.608695652,0.940943938,23
fang,2.342857143,1.235334133,35,2.166666667,1.403458931,12,2.434782609,1.160959124,23
farce,2.9,1.194002105,40,2.944444444,1.109966731,18,2.863636364,1.2834275,22
farewell,1.9,1.028892944,30,1.933333333,1.162919151,15,1.866666667,0.915475416,15
farm,2.297297297,0.938819142,37,1.923076923,0.954073587,13,2.5,0.884651737,24
farmer,2.307692308,1.320961495,39,2.636363636,1.566698904,11,2.178571429,1.218790275,28
farmhouse,2.419354839,1.258946479,31,2.785714286,1.528124614,14,2.117647059,0.927520414,17
farming,2.317073171,1.059221988,41,2.076923077,0.862316499,13,2.428571429,1.136224138,28
farmland,1.848484848,1.034444661,33,1.923076923,1.11516355,13,1.8,1.00524938,20
fascist,2.058823529,1.253871011,34,2.384615385,1.32529629,13,1.857142857,1.195228609,21
fat,2.176470588,1.313579155,34,2.714285714,1.489892687,14,1.842105263,1.067872126,19
fathead,3.685714286,1.254906338,35,3.5,1.366260102,16,3.842105263,1.167293065,19
father,2.444444444,1.054092553,36,2.181818182,1.07871978,11,2.56,1.044030651,25
fathom,2.485714286,1.147155781,35,2.636363636,1.501514387,11,2.416666667,0.974307632,24
fatigue,1.935483871,1.062559296,31,1.928571429,0.916874768,14,1.941176471,1.197423705,17
fatty,3.433333333,1.104327954,30,4,0.894427191,11,3.105263158,1.100239208,19
faucet,2.466666667,1.455864084,30,3,1.788854382,6,2.333333333,1.372609912,24
fault,2.029411765,1.290649217,34,1.923076923,1.255755978,13,2.095238095,1.338086765,21
faun,2.615384615,1.13408723,26,2.916666667,1.164500153,12,2.357142857,1.081817762,14
fauna,2.75862069,1.272095358,29,2.6,1.4040757,15,2.928571429,1.141138818,14
fawn,2.785714286,1.100745298,28,2.642857143,1.277445941,14,2.928571429,0.916874768,14
fear,1.777777778,0.897969491,36,1.882352941,0.992619825,17,1.684210526,0.820069887,19
feast,2.631578947,1.364037184,38,2.4,1.502379066,15,2.782608696,1.277658431,23
feat,2.131578947,0.963413207,38,2.142857143,0.949262293,14,2.125,0.991814323,24
feature,2.243243243,1.164412236,37,2.3125,1.138346754,16,2.25,1.208522369,20
fee,2.291666667,1.236989023,48,2.727272727,1.386390249,22,1.923076923,0.976650477,26
feed,2.486486486,1.095993249,37,2.235294118,1.091410313,17,2.7,1.080935268,20
feedback,1.96969697,1.045372197,33,1.615384615,0.960768923,13,2.210526316,1.08417646,19
feel,1.851851852,1.063510287,27,2,1.060660172,17,1.6,1.0749677,10
feeling,2.195121951,0.980293634,41,2.133333333,0.915475416,15,2.230769231,1.031802008,26
feline,2.6,1.127738831,40,2.352941176,1.221739358,17,2.727272727,1.03195691,22
fellow,2.375,1.039540842,32,2.25,1.064581295,16,2.5,1.032795559,16
felon,1.814814815,0.962250449,27,1.857142857,1.027105182,14,1.769230769,0.926808696,13
female,2.068965517,1.193166091,29,2.230769231,1.3634421,13,1.9375,1.062622542,16
femur,2.431818182,1.24634773,44,2.166666667,1.150447483,18,2.615384615,1.298519867,26
fence,2.304347826,1.019571327,23,2.090909091,1.136181804,11,2.5,0.904534034,12
fencing,2.379310345,1.320546237,29,2.235294118,1.251469724,17,2.583333333,1.443375673,12
fender,1.794117647,0.91384674,34,1.615384615,0.869718493,13,1.904761905,0.94365046,21
fennel,2.555555556,1.229272594,36,2.285714286,1.204387583,14,2.727272727,1.241420775,22
ferret,3,1.185497957,38,2.947368421,1.078769062,19,3.052631579,1.311220136,19
ferry,2.222222222,1.154700538,27,1.857142857,1.167320591,14,2.615384615,1.043907845,13
fetish,3.028571429,1.360919116,35,2.80952381,1.536848972,21,3.357142857,1.008208072,14
feud,2.181818182,1.157976291,33,2.2,1.264911064,15,2.166666667,1.098126747,18
fever,1.941176471,0.982920092,34,2.1,1.197219,10,1.875,0.899879219,24
fiction,2.484848485,1.003780732,33,2.25,0.965307299,12,2.619047619,1.023532631,21
fiddle,3,1.316561177,31,3.307692308,1.182131929,13,2.777777778,1.395604678,18
fielder,2.290322581,1.160274346,31,2.461538462,1.330124344,13,2.166666667,1.043185168,18
fiend,2.80952381,1.209092537,21,2.857142857,1.345185418,7,2.785714286,1.188313053,14
fifteen,1.965517241,0.905647307,29,1.777777778,0.971825316,9,2.05,0.887041208,20
fifty,2.419354839,1.148163564,31,2.571428571,1.398586414,14,2.294117647,0.919558718,17
fig,2.4,1.217519175,35,2.733333333,1.387014608,15,2.15,1.039989878,20
fight,2.090909091,1.041742421,33,2.285714286,0.913873533,14,1.947368421,1.129094239,19
fighter,2.038461538,1.24838357,26,2.153846154,1.463224399,13,1.923076923,1.037749043,13
figment,2.631578947,1.282334287,38,2.25,1.251315098,20,3.055555556,1.211329956,18
file,1.862068966,1.245682198,29,1.636363636,1.286291357,11,2,1.236693885,18
fillet,2.612903226,1.229564133,31,2,0.632455532,6,2.76,1.3,25
filly,2.964285714,1.452511053,28,3.083333333,1.378954369,12,2.875,1.543804824,16
film,2.12,1.201388086,25,2.090909091,1.375103302,11,2.142857143,1.099450412,14
filter,2.038461538,1.038490028,26,2.6,1.140175425,5,1.904761905,0.995226703,21
filth,2.166666667,1.464130514,30,2.444444444,1.943650632,9,2.047619048,1.244033379,21
fin,2.655172414,1.232762927,29,3,1.414213562,13,2.375,1.024695077,16
finch,2.642857143,1.253566341,28,3,1.279204298,12,2.375,1.204159458,16
find,2.205882353,1.200490096,34,2.454545455,1.368476259,11,2.086956522,1.124643114,23
finder,2.285714286,1.049061057,28,2,1.290994449,7,2.380952381,0.973457265,21
fine,2.263157895,1.223292202,38,2.272727273,1.279204298,22,2.25,1.183215957,16
finesse,2.805555556,0.980362745,36,2.461538462,1.198289379,13,3,0.797724035,23
finger,2.757575758,1.250757346,33,3.166666667,1.267304465,12,2.523809524,1.209092537,21
finish,2,1.277332747,39,1.842105263,1.167293065,19,2.15,1.386969434,20
fir,2.357142857,1.206111037,42,2.941176471,1.29762226,17,2,0.978019294,24
fire,2.027777778,1.18288053,36,2.444444444,1.424000624,9,1.888888889,1.086041979,27
fireman,1.777777778,0.929242737,36,1.875,0.957427108,16,1.736842105,0.933458638,19
fireworks,2.294117647,1.030722364,34,2.363636364,0.924416278,11,2.260869565,1.096166515,23
firm,2.344827586,1.110851092,29,2.5,1,12,2.235294118,1.200490096,17
firstborn,2.157894737,1.078695804,38,2.4,1.183215957,15,2,1,23
fiscal,2.193548387,1.222548018,31,2.2,1.475729575,10,2.19047619,1.123345344,21
fishing,2,1.219499687,40,2.35,1.460893742,20,1.65,0.812727701,20
fist,1.971428571,0.984757787,35,2.2,0.918936583,10,1.88,1.01324561,25
fit,2.434782609,1.375965346,23,2.625,1.407885953,8,2.333333333,1.397276262,15
fitness,2.058823529,1.153155788,34,2.2,1.281446551,20,1.857142857,0.949262293,14
five,2.037037037,1.055443089,27,1.928571429,1.071611706,14,2.25,1.055289706,12
fiver,3.111111111,1.265310279,45,2.869565217,1.423962073,23,3.363636364,1.048602451,22
fix,2.102564103,1.119089663,39,2.333333333,1.302677895,12,2,1.037749043,27
fizz,3.392857143,1.257254084,28,3.5,1.100239208,20,3.125,1.642080562,8
flag,2.230769231,1.242825565,26,2.5,1.433720878,10,2.0625,1.123610253,16
flagship,2.36,1.113552873,25,2.625,1.060660172,8,2.1875,1.167261753,16
flagstaff,2.333333333,1.061337261,30,2.368421053,1.065130473,19,2.272727273,1.103712743,11
flair,2.810810811,1.150792911,37,2.533333333,1.407463101,15,3,0.9258201,22
flak,2.78125,1.237436867,32,2.666666667,1.23091491,12,2.85,1.268027893,20
flake,2.794117647,1.249955436,34,3,1.17260394,17,2.588235294,1.325651893,17
flame,2.393939394,0.966287805,33,2.066666667,0.961150105,15,2.666666667,0.907485213,18
flan,3.125,1.385407824,32,3.052631579,1.311220136,19,3.230769231,1.535895296,13
flank,2.92,1.115048579,25,3.416666667,1.240112409,12,2.461538462,0.776250026,13
flannel,2.7,1.149212624,30,2.846153846,1.068188018,13,2.588235294,1.227743027,17
flap,3.071428571,1.152407188,28,2.75,1.288057029,12,3.3125,1.01447852,16
flares,2.057142857,1.161714178,35,2.333333333,1.2344268,15,1.85,1.089422831,20
flash,2.648648649,1.295638329,37,2.944444444,1.258954852,18,2.368421053,1.300022492,19
flashback,2.475,1.037440143,40,2.4375,1.152894907,16,2.5,0.978019294,24
flat,2.194444444,1.009085709,36,2,1,9,2.259259259,1.022538041,27
flatfoot,2.848484848,1.27772288,33,3.25,1.281739889,8,2.72,1.275408431,25
flaw,2.228571429,1.059570232,35,1.833333333,1.029857301,12,2.434782609,1.036869719,23
flea,2.347826087,1.079452357,46,2.25,0.966545667,20,2.48,1.159022577,25
fleabag,3,1.386750491,27,2.777777778,1.56347192,9,3.111111111,1.3234931,18
fleece,2.5,1.158817131,36,2.5625,1.093541647,16,2.45,1.234376041,20
fleet,2.25,1.077631812,32,2.25,1.183215957,16,2.25,1,16
flesh,2.3,1.118804781,30,2.076923077,1.320450584,13,2.470588235,0.943242218,17
flick,3.166666667,1.102473199,42,3.238095238,1.135991281,21,3.095238095,1.091089451,21
flier,2.481481481,0.93522397,27,2.5,0.940539943,14,2.461538462,0.967417922,13
flight,2.171428571,1.224401758,35,1.9375,1.123610253,16,2.444444444,1.293523334,18
flimsy,2.785714286,1.100745298,28,2.692307692,1.182131929,13,2.866666667,1.060098827,15
fling,2.757575758,1.323591304,33,2.857142857,1.350620533,14,2.777777778,1.308594017,18
flip,2.913043478,1.296595319,46,2.357142857,1.150728389,14,3.15625,1.297873571,32
flipper,3.2,1.08012345,25,3.3,0.948683298,10,3.133333333,1.187233679,15
flirt,3.03030303,1.262063006,33,2.666666667,1.302677895,12,3.238095238,1.220850601,21
floater,2.888888889,1.247219129,45,2.416666667,1.240112409,12,3.060606061,1.223197499,33
flock,2.483870968,1.411168966,31,1.777777778,1.301708279,9,2.772727273,1.377776614,22
flood,1.757575758,1.031694693,33,1.4,0.828078671,15,2.055555556,1.109966731,18
floor,1.78125,1.007532117,32,1.666666667,0.912870929,21,2,1.183215957,11
flooring,1.903225806,1.135923668,31,1.363636364,0.809039835,11,2.2,1.196486083,20
floozy,3.933333333,1.048260738,30,4,0.666666667,10,3.9,1.209610638,20
flop,3.03125,1.33161011,32,3.5,1.167748416,12,2.75,1.371706582,20
florist,2.366666667,1.351457281,30,2.555555556,1.381483526,18,2.083333333,1.311372171,12
floss,2.35483871,0.98483119,31,2.25,1.138180366,12,2.421052632,0.901590537,19
flounder,2.764705882,1.182160927,34,2.75,0.965307299,12,2.772727273,1.30682524,22
flour,2.216216216,1.108931797,37,2,1.309307341,15,2.363636364,0.953462589,22
flourish,2.483870968,1.091511727,31,2.411764706,1.227743027,17,2.571428571,0.937614462,14
flow,2.322580645,1.300950852,31,2.384615385,1.32529629,13,2.277777778,1.319784098,18
flower,2.25,1.113162358,24,2.181818182,0.873862898,11,2.307692308,1.315587029,13
flu,1.630434783,0.951226008,46,1.65,0.988086934,20,1.615384615,0.941357449,26
flue,2.793103448,1.145778286,29,3,0.755928946,8,2.714285714,1.27054544,21
fluff,3.724137931,1.065583399,29,3.733333333,1.387014608,15,3.714285714,0.611249846,14
fluid,2.238095238,1.077701344,42,2.470588235,1.067570083,17,2.08,1.077032961,25
fluke,3.186046512,1.219988563,43,3.294117647,1.311711948,17,3.115384615,1.17735035,26
flush,3.054054054,1.268112025,37,3.2,1.473576795,15,2.954545455,1.132938561,22
flute,2.441176471,0.990597508,34,2.588235294,1.003669737,17,2.294117647,0.985184366,17
flux,2.642857143,1.339272487,28,3.444444444,1.236033081,9,2.263157895,1.240165995,19
foam,2.341463415,1.216752976,41,2.083333333,1.083624669,12,2.448275862,1.270157664,29
focus,2.352941176,1.011520096,34,2.428571429,1.283881478,14,2.3,0.801314709,20
foe,1.9,1.124952106,30,1.666666667,1.118033989,9,2,1.140175425,21
fog,2.1,1.155198147,30,2,1.054092553,10,2.15,1.225818738,20
fold,1.774193548,1.055451796,31,1.571428571,0.851630627,14,1.941176471,1.197423705,17
folk,2.708333333,1.301476308,24,2.888888889,1.452966315,9,2.6,1.242118007,15
folklore,2.525,1.131993929,40,2.230769231,1.23516842,13,2.666666667,1.074172311,27
folly,2.714285714,1.235367315,42,2.608695652,1.305203935,23,2.842105263,1.167293065,19
fondness,2.161290323,1.157490797,31,2.272727273,1.190874392,11,2.1,1.165287405,20
fondue,2.771428571,1.165325359,35,2.866666667,1.187233679,15,2.7,1.174285897,20
font,2.228571429,1.285340749,35,2.416666667,1.378954369,12,2.130434783,1.254241815,23
food,2.181818182,1.014105069,33,2.272727273,1.103712743,11,2.136363636,0.990211836,22
fool,2.818181818,1.367526918,22,2.727272727,1.489356176,11,2.909090909,1.300349603,11
foot,2.552631579,1.288144872,38,2.619047619,1.359271514,21,2.470588235,1.23073388,17
footage,2.147058824,1.076817785,34,1.769230769,1.091928428,13,2.45,0.998683344,20
football,2.441176471,1.283725083,34,2.3,1.159501809,10,2.5,1.351327849,24
foothold,2.121212121,0.960389757,33,2.166666667,0.923548145,18,2.066666667,1.032795559,15
footing,2.432432432,1.214279405,37,2.705882353,1.311711948,17,2.157894737,1.118687619,19
footprint,2.242424242,1.000946522,33,2.153846154,0.987096234,13,2.3,1.031095483,20
footwork,2.64516129,0.91463607,31,2.928571429,0.82874193,14,2.411764706,0.939336437,17
force,2.15625,0.987318787,32,1.8,0.918936583,10,2.318181818,0.994574024,22
forceps,2.333333333,1.386750491,27,2.363636364,1.206045378,11,2.3125,1.537042615,16
forces,1.956521739,1.074068521,46,1.8,0.951453182,20,2.076923077,1.163548948,26
ford,2.026315789,1.102499423,38,2,1.341640786,11,2.037037037,1.018350154,27
fore,2.225806452,1.14628901,31,2.2,1.320173149,15,2.25,1,16
forecast,2.171428571,1.124217749,35,2.052631579,1.078769062,19,2.3125,1.195477589,16
forefront,2.4375,1.342542124,32,2.8,1.398411798,10,2.272727273,1.31590339,22
forehead,2.411764706,1.416732199,34,2.733333333,1.579632266,15,2.157894737,1.25888654,19
foreman,2.465116279,1.182185974,43,2.5,1.300183137,22,2.428571429,1.075705748,21
foreplay,2.942857143,1.161714178,35,3.461538462,1.126601424,13,2.714285714,1.055597326,21
foresight,2.371428571,0.972737625,35,2.157894737,0.834210065,19,2.625,1.087811258,16
forfeit,1.65,0.948683298,40,1.421052632,0.837707817,19,1.9,1.020835571,20
forge,2.161290323,1.213720841,31,1.9375,1.062622542,16,2.4,1.352246808,15
forger,2.294117647,1.087934149,34,2,0.942809042,10,2.416666667,1.138903617,24
fork,2.518518519,1.220667231,27,2.333333333,1.435481125,12,2.666666667,1.046536237,15
forklift,2.292682927,1.346177968,41,2.380952381,1.532194194,21,2.2,1.151657844,20
forte,2.821428571,0.904866326,28,2.769230769,1.012739367,13,2.866666667,0.833809388,15
fortnight,2.451612903,1.386571543,31,2.071428571,1.491735474,14,2.764705882,1.251469724,17
fortress,2,1.08012345,25,2,1,11,2,1.176696811,14
fortune,2.567567568,1.191183831,37,2.944444444,1.349170648,18,2.210526316,0.917662935,19
forty,2.033333333,1.033351872,30,1.769230769,1.012739367,13,2.235294118,1.032558217,17
forum,2.333333333,1.034492841,39,2.208333333,1.020620726,24,2.533333333,1.060098827,15
fossil,2.40625,1.073414059,32,2.636363636,1.026910636,11,2.285714286,1.10194633,21
foul,2.068965517,1.066738503,29,2,1.054092553,10,2.166666667,1.098126747,18
founder,2.076923077,0.983672372,39,1.916666667,1.083624669,12,2.148148148,0.948833442,27
foundry,2.4,1.10476822,40,2.3125,1.01447852,16,2.458333333,1.178767472,24
fountain,1.909090909,0.971454036,22,1.8,1.032795559,10,2,0.953462589,12
four,2.333333333,1.050793351,33,2,1.054092553,10,2.47826087,1.038773981,23
foursome,3.25,1.255755978,40,3.409090909,1.402687587,22,3.055555556,1.055641551,18
fowl,2.48,1.29486164,25,2.666666667,1.290994449,15,2.2,1.316561177,10
foxhole,2.666666667,1.290994449,33,2.882352941,1.317305628,17,2.4375,1.263262971,16
foxtrot,3,1.270977819,27,2.923076923,1.255755978,13,3.071428571,1.328057327,14
foyer,2.275,1.061868213,40,2,1,21,2.578947368,1.070606758,19
fragment,2.371428571,1.002517839,35,2.476190476,0.872871561,21,2.214285714,1.188313053,14
fragrance,2.294117647,1.212678125,17,2.285714286,1.253566341,7,2.3,1.251665557,10
frame,1.897435897,0.940181164,39,2,0.852802865,12,1.851851852,0.988538303,27
framework,2.153846154,1.084151565,26,2.125,1.457737974,8,2.166666667,0.923548145,18
franc,2.282608696,1.167391079,46,2.315789474,1.157230006,19,2.259259259,1.195909457,27
franchise,2.151515152,1.253026639,33,2.066666667,1.162919151,15,2.222222222,1.352799083,18
fraud,1.906976744,1.019195609,43,2.214285714,0.974961256,14,1.75862069,1.023131482,29
freckle,2.657142857,1.211291414,35,3,1.154700538,13,2.428571429,1.247855303,21
freebie,2.62962963,1.005681864,27,2,0.866025404,9,2.944444444,0.937595311,18
freedom,2.129032258,1.14722667,31,2.25,1.290994449,16,2,1,15
freelance,2.14893617,1.160560648,47,2,1.195228609,22,2.28,1.137248141,25
freeman,2.45,1.234376041,20,2.636363636,1.433368569,11,2.222222222,0.971825316,9
freestyle,2.5,1.144344271,22,2.833333333,1.169045194,6,2.375,1.147460965,16
freeway,1.945945946,1.129059243,37,1.714285714,0.913873533,14,2.086956522,1.239979599,23
freezer,2.28125,0.991394424,32,2.181818182,1.167748416,11,2.333333333,0.912870929,21
freezing,1.966666667,1.033351872,30,1.785714286,0.974961256,14,2.2,1.082325539,15
freight,2.243902439,1.260565107,41,2.571428571,1.398586414,14,2.074074074,1.174273128,27
freighter,2.275862069,1.031522859,29,2.25,1.38873015,8,2.285714286,0.902377811,21
frenzy,2.837837838,1.404625563,37,2.846153846,1.519109051,13,2.833333333,1.372609912,24
freshness,2.5,1.037749043,40,2.578947368,1.070606758,19,2.428571429,1.028174527,21
friar,2.448979592,1.275755079,49,2.388888889,1.289728147,18,2.483870968,1.28765854,31
friction,2.483870968,1.234800058,31,2.363636364,1.286291357,11,2.55,1.234376041,20
fridge,2.161290323,1.035914224,31,2.357142857,1.215739272,14,2,0.866025404,17
friend,2.677419355,1.22166817,31,2.4,1.349897115,10,2.80952381,1.167006753,21
friendly,2.5,1.161242803,34,2.636363636,1.286291357,11,2.434782609,1.121123096,23
friendship,2.393939394,1.143989563,33,2,1.095445115,11,2.590909091,1.140555041,22
fright,1.90625,0.92838309,32,1.733333333,0.798808637,15,2.058823529,1.028991511,17
fringe,2.709677419,1.131180751,31,2.642857143,1.215739272,14,2.764705882,1.091410313,17
frisbee,2.971428571,1.097744058,35,3,1.154700538,13,2.954545455,1.0900971,22
frisk,2.965517241,1.401090357,29,2.818181818,1.328019715,11,3.055555556,1.474178624,18
frock,2.965517241,1.499589435,29,3.117647059,1.576481563,17,2.909090909,1.375103302,11
frog,2.44,1.15758369,25,2.142857143,1.069044968,7,2.555555556,1.199128224,18
frolic,3.475,1.198021874,40,3.45,1.316894273,20,3.5,1.100239208,20
frontier,2.411764706,1.202937581,51,2.391304348,1.405803893,23,2.428571429,1.03381965,28
frostbite,2,1.021507837,24,1.857142857,1.214985793,7,2.058823529,0.96634545,17
frosting,2.88372093,1.159008244,43,3.125,1.258305739,16,2.740740741,1.095185007,27
frown,1.933333333,0.868344971,30,2.083333333,0.900336637,12,1.833333333,0.857492926,18
fruit,2.1875,1.306003507,32,2,1.414213562,12,2.3,1.260743306,20
fruitcake,3.833333333,1.288766674,30,3.692307692,1.601281538,13,3.941176471,1.028991511,17
fryer,2.03125,1.149596703,32,2.6,1.264911064,10,1.772727273,1.020355595,22
fuchsia,2.733333333,1.25762045,30,2.9,1.449137675,10,2.65,1.182103388,20
fuck,3.733333333,1.387961376,30,4.142857143,0.949262293,14,3.375,1.62788206,16
fucker,3.302325581,1.596646541,43,3.625,1.543804824,16,3.111111111,1.625123269,27
fuel,2.260869565,1.053884214,23,2.2,1.316561177,10,2.307692308,0.854850414,13
full,2.222222222,0.897969491,36,2.166666667,0.937436867,12,2.25,0.896854406,24
fullback,2.12195122,1.076919727,41,2.222222222,1.060274967,18,2.043478261,1.106931092,23
fullness,2.033333333,1.033351872,30,2,1.133893419,15,2.066666667,0.961150105,15
fun,3.355555556,1.316944735,45,3.263157895,1.326738074,19,3.423076923,1.331858158,26
function,2.5,0.992395327,34,2.533333333,0.990430402,15,2.473684211,1.020262551,19
fund,2.181818182,1.102682679,33,2.111111111,1.452966315,9,2.208333333,0.9770927,24
fungus,3.176470588,1.445381112,34,3.181818182,1.53741223,11,3.173913043,1.435022138,23
funk,3.75,1.075828707,28,3.444444444,1.666666667,9,3.894736842,0.657836255,19
fur,2.709677419,1.006430934,31,2.642857143,1.150728389,14,2.764705882,0.903424856,17
furlong,2.59375,1.364512793,32,2.357142857,1.446860945,14,2.777777778,1.308594017,18
furlough,2.625,1.288910518,32,3,1.527525232,7,2.52,1.228820573,25
furnace,1.923076923,0.976650477,26,1.7,0.948683298,10,2.0625,0.997914492,16
fury,2.52,1.326649916,25,2.3,1.567021236,10,2.666666667,1.175139303,15
fusion,2.214285714,1.066567456,28,2.307692308,1.109400392,13,2.133333333,1.060098827,15
fuss,2.62962963,1.362919608,27,3.285714286,0.755928946,7,2.4,1.465390194,20
future,2.422222222,1.305388986,45,2.318181818,1.286796082,22,2.52173913,1.343995577,23
fuzz,3.555555556,1.28102523,27,3.5,1.314257481,12,3.785714286,1.121713759,14
gab,3.096774194,1.247793752,31,2.888888889,1.452966315,9,3.181818182,1.180652105,22
gad,3.03125,1.282245384,32,2.583333333,1.378954369,12,3.3,1.174285897,20
gag,2.90625,1.399524689,32,3.1,1.852925615,10,2.818181818,1.180652105,22
